zip,post_net,post_bus,post_pop,post_temp,post_perm,pre_net,pre_bus,pre_pop,pre_temp,pre_perm,county,state,2010 Population,area,land_area,density,CBSA,MsaName,MetroShort,2019 Population,MOE_2019,wfh_wage,wfh_emp,density2019,lat,lon,cbd_lon,cbd_lat,dist_to_cbd,estab_count,teleworkable_emp_mean,teleworkable_wage_mean
33168,-0.14955861968337344,0.5628517823639775,-0.4924491135915955,-0.4924491135915955,-0.5033924272269643,1.9989786240606988,4.50281425891182,1.919457211643686,1.919457211643686,0.8462829211351864,086,12,25792,3.6832783783783785,3.6804637065637067,7007.812617198962,33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","Miami, FL",27414,1710,0.34322332664625255,0.29722907016162536,7448.517954710465,25.893051,-80.209181,-80.191803,25.7749,13267.260071845747,533,0.28566168446904316,0.3420265466228893
33169,-0.6174025849228848,-17.97680412371134,-0.13861528852159702,-0.13861528852159702,-1.499063085571518,-1.0474222841493297,-19.6520618556701,-0.8595589295152068,-0.8595589295152068,-2.1621102195743047,086,12,39353,7.156865250965251,6.894455212355212,5707.920174675649,33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","Miami, FL",41626,1852,0.34530196067978813,0.3042756338890562,6037.605397073884,25.943117,-80.214686,-80.191803,25.7749,18865.608663745465,1552,0.37375000942010306,0.4314799055811856
33170,3.0734367254443735,10.27190332326284,4.045747468309609,4.045747468309609,2.64853763897741,2.988456908150981,0,3.539409390269811,3.539409390269811,2.513986261596204,086,12,12253,13.202960617760617,13.173723166023166,930.1091153639969,33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","Miami, FL",14121,1440,0.3563081613580379,0.3112186510897671,1071.9065386480863,25.557912,-80.457897,-80.191803,25.7749,36003.9500906785,331,0.3021376434410876,0.3724989046495468
33172,-7.652920011071132,-8.828555154737042,-7.670679952025095,-7.670679952025095,-7.23083310268475,-7.438416828120675,-5.430036073666224,-8.039717686133406,-8.039717686133406,-7.276962819448289,086,12,37664,7.206166409266409,6.545458687258687,5754.218581092919,33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","Miami, FL",43356,1588,0.395981699642366,0.33777173444147507,6623.8291419356565,25.786909,-80.361253,-80.191803,25.7749,17038.052164332938,5267,0.4097990926983102,0.4930656636552117
33173,-2.2545256731844416,-3.869346733668342,-2.3110399226328995,-2.3110399226328995,-2.2182598446613677,-2.487231406207501,2.1105527638190953,-2.847471969536704,-2.847471969536704,-2.520475082353652,086,12,33141,5.214258687258687,5.0521930501930505,6559.725582682087,33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","Miami, FL",33089,1498,0.4132922477310032,0.3708208704961859,6549.433022702018,25.70232,-80.357503,-80.191803,25.7749,18475.815572158248,1990,0.45765311891407034,0.5058708730236181
33174,-2.645118158300148,-9.53757225433526,-2.679417492660524,-2.679417492660524,-2.642211435049269,-1.9126238990785687,-7.369942196531793,-2.0437171176932245,-2.0437171176932245,-1.8486759875592247,086,12,32524,3.2152374517374516,3.0825749034749035,10550.919610529681,33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","Miami, FL",34403,1590,0.3889952461527062,0.33666151046888015,11160.474952682716,25.761518,-80.364697,-80.191803,25.7749,17396.50246961132,1384,0.3310699246416185,0.3790587228460983
33175,-1.053460298417935,-0.3508771929824561,-1.452912948939042,-1.452912948939042,-1.2034190597585663,-2.316862862712754,-4.035087719298246,-2.587163530029242,-2.587163530029242,-2.193146884606733,086,12,53206,8.01755444015444,7.699343243243243,6910.459544285455,33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","Miami, FL",53348,1944,0.39872142682666556,0.3507089799568041,6928.902675798603,25.734734,-80.406757,-80.191803,25.7749,22010.478906691777,2280,0.36563386110307017,0.41320376272543863
33176,-1.3043145654834762,-2.36241610738255,-1.3810052019583843,-1.3810052019583843,-1.4630507955936352,-1.2163402692778458,2.5503355704697985,-1.4881043451652387,-1.4881043451652387,-1.0862913096695226,086,12,50170,12.629911196911197,12.265746718146719,4090.2524039384684,33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","Miami, FL",52288,1660,0.4130215566441852,0.373660028159843,4262.928397391562,25.659873,-80.358354,-80.191803,25.7749,21047.09938427791,3725,0.4236381441073826,0.4736431114279195
33177,0.8204985571741473,29.20634920634921,0.4180718283906407,0.4180718283906407,0.44675451100372005,-0.2520599381149393,16.587301587301585,-0.4311094113965859,-0.4311094113965859,-0.7457497479400619,086,12,53191,12.821478378378378,12.52399305019305,4247.12787581594,33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","Miami, FL",57526,1673,0.3759230233090743,0.3285009491991862,4593.263487886818,25.596129,-80.404194,-80.191803,25.7749,29155.18382058299,1260,0.32598583967936506,0.3869589633087302
33178,-2.8866413822166033,2.807646356033453,-3.7909435697046314,-3.7909435697046314,-2.6088955292495117,-2.3981917787227522,4.440461967343688,-3.3858177221009074,-3.3858177221009074,-2.3426426081293337,086,12,39489,63.63584942084942,55.594304633204636,710.3065729580962,33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","Miami, FL",52206,951,0.4194101252087607,0.3544287533519737,939.0530261047476,25.834607,-80.422908,-80.191803,25.7749,24095.92560224626,5022,0.42947301994046194,0.5138864548719634
