MetroShort,post_pct_change,pre_pct_change,2010 Population,2019 Population,area,land_area,estab_count,density,density2019,AREA,Msa,MsaName,end,teleworkable_manual_emp,teleworkable_manual_wage,wfh_emp,wfh_wage,MetroState
"Clarksville, TN",11.754250972657223,4.208193603945438,308656,333592,2434.9617934362936,2374.3385965250964,8377,129.9966232498287,140.4989164090666,17300,"Clarksville, TN-KY",Clarksville,TN-KY,0.25851533,0.30154297,0.29801679,0.34227738,TN
"Cleveland, OH",11.152676774491761,4.636692840876567,1967540,1944436,1784.5769525096525,1748.249783011583,82617,1125.4341451200764,1112.2186422643,17460,"Cleveland-Elyria, OH",Cleveland-Elyria,OH,0.31750074,0.4021273,0.3654854,0.44317737,OH
"Cleveland, TN",10.887149238842868,5.5544424933118055,81237,86273,600.0551374517374,592.6168162162162,1859,137.08183395585704,145.57973658399072,17420,"Cleveland, TN",Cleveland,TN,0.24982542,0.30903992,0.31311727,0.36334869,TN
"Coeur d'Alene, ID",17.589060533464213,10.826111619704466,146635,166535,1807.6504243243244,1681.2990926640925,9270,87.21529717098127,99.05138278289198,17660,"Coeur d'Alene, ID",Coeur d'Alene,ID,0.25866383,0.30182275,0.29955557,0.34314916,ID
"College Station, TX",6.818274646129549,-2.3898501005055452,238762,269258,2521.4346841698843,2483.046252123552,8477,96.15688785329948,108.43857611179213,17780,"College Station-Bryan, TX",College Station-Bryan,TX,0.35233587,0.42978448,0.42090797,0.45651954,TX
"Colorado Springs, CO",13.696744133984412,6.378935686763197,657015,736812,3733.320384169884,3722.01632972973,33704,176.52125670488618,197.96044260061126,17820,"Colorado Springs, CO",Colorado Springs,CO,0.36108276,0.4663882,0.40308225,0.50151491,CO
"Columbia, MO",7.72877028637938,3.86907353727871,178570,193110,1482.2252181467181,1466.1362795366795,8486,121.79631763592313,131.71354034089217,17860,"Columbia, MO",Columbia,MO,0.27529389,0.35276058,0.33865142,0.40644845,MO
"Columbia, SC",8.130253460151641,3.9560439560439558,821713,875238,4630.5428918918915,4483.216555212355,30693,183.28648413038306,195.22545681680614,17900,"Columbia, SC",Columbia,SC,0.3102341,0.39495081,0.36856678,0.44911692,SC
"Columbus, GA",7.985075190525465,4.102572336940813,288095,299739,1844.509145173745,1806.9060324324325,8906,159.44105273264842,165.88521739367675,17980,"Columbus, GA-AL",Columbus,GA-AL,0.3130503,0.4157635,0.3517563,0.45372504,GA
"Columbus, IN",6.177761581263292,5.725832058424501,116889,125226,729.4428965250966,724.3249976833977,4648,161.37645445600396,172.88648106928412,18020,"Columbus, IN",Columbus,IN,0.23739773,0.30602479,0.26334548,0.3350988,IN
