zip,estab_count,teleworkable_emp_mean,teleworkable_wage_mean
11693,200,0.23377273609500002,0.27059070313000005
11694,589,0.283042943385399,0.33169782277758914
11697,58,0.31664386863793104,0.3701642103965518
11701,1418,0.32871356081946407,0.3858858126297602
11702,1046,0.36083827742351815,0.40817315567686424
11703,530,0.299584845145283,0.3438625741886792
11704,2044,0.30581721499559683,0.3704749315655577
11705,405,0.3451893115679012,0.39755847187901233
11706,3158,0.2964762486253958,0.3535825769582014
11709,227,0.32638348543612333,0.3866805567488987
11710,2148,0.3663797703300745,0.420377051141527
11713,370,0.32321009482972973,0.3879443298567568
11714,1287,0.350036927027972,0.40225259571484073
11715,159,0.3260666020628931,0.37168333178616353
11716,1959,0.3912969200377744,0.4670430318647269
11717,1555,0.2836454121845659,0.3441710532688103
11718,134,0.3219795272686567,0.38248414158208954
11719,139,0.36219884686330933,0.4214911061294964
11720,1049,0.29750744708674925,0.3474891547530982
11721,245,0.48708783702857145,0.5444791141877551
11722,948,0.3183364698164557,0.37552661557173
11724,152,0.5444372751973684,0.6153614081578948
11725,2345,0.3796859354098081,0.43277318543752663
11726,883,0.26496515541109855,0.3274942644394111
11727,757,0.2992945768731836,0.3563652228612946
11729,2696,0.3117829771431751,0.3790925587470326
11730,729,0.3231827462537723,0.3714577374869685
11731,1647,0.35407303586156647,0.4080088428263509
11732,205,0.3844380494439025,0.44548623413658534
11733,1171,0.3964592828949616,0.4470104512433817
11735,3806,0.3612213824382554,0.4361228888060957
11738,681,0.28333486687518356,0.3361157323465492
11739,43,0.3697212445116279,0.4237496630697674
11740,449,0.3949813433496659,0.44851518087305126
11741,1454,0.3690915566877579,0.4321873269463549
11742,526,0.3658585731007605,0.42954023775475286
11743,3869,0.3915690077531662,0.4413468035706901
11746,3828,0.3498759323179206,0.40604515849242423
11747,3812,0.5576305549412383,0.6241411557051416
11749,661,0.4582488379122542,0.5266099177881997
11751,620,0.31017511094193545,0.3631591538096774
11752,300,0.3272674469633333,0.38103112261666666
11753,1951,0.5661402043193234,0.6286929729067146
11754,702,0.35142327442450144,0.40815668294017093
11755,735,0.2575031451278912,0.3075915684027211
11756,1550,0.31523996992903225,0.3650625799
11757,2190,0.30132900649041094,0.3590628136328767
11758,2762,0.3255275691527878,0.37365302964446057
11762,843,0.36586266180427046,0.41830447586002373
11763,1347,0.30003762783444693,0.3551855833904974
11764,659,0.3098445161608498,0.36033860688012137
11765,6,0.728977085,0.7245174950000001
11766,626,0.35957368009584667,0.4147869186453674
11767,633,0.38667088213112166,0.43972120947709326
11768,1332,0.3950647680848348,0.4515658250262763
11769,439,0.28732658452164006,0.3343668004464692
11770,115,0.12150810516521739,0.16497255384347825
11771,807,0.39389302712887236,0.453532577819083
11772,2520,0.28921806343055556,0.3368707189793651
11776,1255,0.3395229586804781,0.3871560543713148
11777,827,0.3740952882273277,0.41518200986094317
11778,616,0.2950738822418831,0.34492076092857143
11779,2743,0.35842492141815535,0.42375103515530443
11780,978,0.3665355812822086,0.4185703036952966
11782,955,0.3325198329947644,0.3854554623225131
11783,931,0.3286608261535983,0.3822743337336198
11784,848,0.2702617214681604,0.3198891184115566
11786,227,0.3995569562290749,0.4506694593039648
11787,2802,0.39750932300749464,0.4452331213997145
11788,2782,0.48765609596693027,0.5607722869119339
11789,141,0.2985576585957447,0.3546281354326241
11790,810,0.3499997919814815,0.3847998734802469
11791,2452,0.4313267072255302,0.48583238278955954
11792,375,0.2872686007226667,0.3371212316346667
11793,1496,0.35542095115909095,0.41011767811497324
11794,55,0.20808152470909091,0.24112737085454547
11795,1136,0.31395329930809857,0.3564281722887324
11796,119,0.3505010721764706,0.4054326382100841
11797,1292,0.4993514719202786,0.5564738882244582
11798,282,0.2890677435780142,0.3468370947624113
11801,3745,0.3498886090958611,0.4122733699802403
11802,3,0.53548193,0.67719042
11803,2819,0.42675034244448384,0.4874440065537424
11804,159,0.46944076062893086,0.5365393350943396
11901,2264,0.2833874011943463,0.33436873860954064
11930,195,0.2813625868,0.33240519073846153
11931,67,0.4115693872238806,0.47214697286567164
11932,421,0.33231458828503563,0.3939578902042755
11933,227,0.3308836787488987,0.4006888539118943
11934,576,0.2974718038645834,0.34653717243750004
11935,239,0.2968806039246862,0.35856566863598327
11937,1747,0.3228095807441328,0.38331320172352606
11939,7,0.017568879,0.038011037000000004
11940,280,0.32066404275714283,0.3764274646642857
11941,124,0.22465401136290322,0.27518746723387094
11942,233,0.2830476628969957,0.3477045336695279
11944,324,0.23796513803703703,0.29066228991358023
11946,1065,0.27484730936150237,0.33219794625915494
11947,84,0.2586244899761905,0.30864724195238097
11948,33,0.38225955363636366,0.4411075018181818
11949,456,0.2927545538245614,0.3440903292192983
11950,335,0.2461364632567164,0.30271034179402984
11951,195,0.19964327092820514,0.24899980423076923
11952,372,0.2806408456344086,0.33643568461827955
11953,356,0.29168466017415734,0.34612190793820224
11954,513,0.24377320928849902,0.29868801123391814
11955,72,0.21643905293055554,0.2771673337916667
11956,3,0.017568879,0.038011037
11957,21,0.41232511,0.48350076285714294
11958,44,0.24252636909090908,0.33319202249999996
11959,175,0.3230618414114286,0.3898664245771429
11960,59,0.42021637576271187,0.4817914903389831
11961,225,0.3439298797422222,0.4008782234666667
11962,47,0.43193208651063836,0.4799141125106383
11963,730,0.3342214103972603,0.39270328755890416
11964,113,0.3553637237256637,0.4171882318849558
11965,63,0.3754985458253968,0.4379224106507936
11967,884,0.27628973279751134,0.32514534704524883
11968,1826,0.31146951740580503,0.37235800284008763
11969,19,0.24479048263157893,0.3435738210526316
11971,336,0.2780553540059524,0.3347812797559524
11972,93,0.27951275468817205,0.33436426159139787
11975,121,0.3257709528429752,0.3877722092727273
11976,216,0.35865169329629626,0.41784986164814814
11977,154,0.3200987318311688,0.3832492535454545
11978,538,0.3097917180873606,0.3695832974126394
11980,285,0.32672866838596487,0.40844483654736846
12008,9,0.5924513633333333,0.6427892866666667
12009,226,0.3113861515442478,0.36861237299557525
12010,1208,0.29115763974254966,0.3404286009751656
12015,47,0.3166664605744681,0.3762498727872341
12018,108,0.33500588428703704,0.3927403944351852
12019,351,0.4021836578632479,0.4606504573960114
12020,1410,0.3458889720609929,0.39660818886950355
12022,8,0.17196091,0.2013973
12023,6,0.17196091,0.2013973
12025,95,0.28541099715789475,0.34002791768421053
12027,129,0.43487838841860466,0.4882146101395349
12029,25,0.391118186,0.44875189800000004
12032,11,0.017568879,0.038011037
12033,285,0.2967666981473684,0.3470376686877193
12037,221,0.3809940718416289,0.4361595684117647
12043,332,0.32154455212951805,0.37670479704216864
12047,541,0.3013344962809612,0.355759082207024
12051,50,0.37642411028,0.44820332764
12052,17,0.17620811235294118,0.20829885999999997
12053,64,0.32530046453125,0.38986262250000003
12054,637,0.38202327230926214,0.43215281659026694
12056,63,0.2680194447301587,0.3146876116507937
12057,6,0.24474956,0.29015684
12058,12,0.48732875000000003,0.5324412900000001
12059,13,0.23553800384615384,0.31055788461538464
12060,31,0.527609275483871,0.6068870219354839
12061,375,0.368610766968,0.4176034449493334
12062,16,0.32969991625,0.38652769750000004
12065,2441,0.38371189944981565,0.43761356973617377
12066,20,0.18065182,0.21743404900000002
12067,16,0.232226696875,0.30487243750000004
12068,51,0.32610633001960787,0.3636743645686275
12070,3,0.17196091,0.2013973
12072,58,0.19084929113793103,0.246279938
12074,52,0.30779553163461537,0.3411819647115385
12075,117,0.33524359064102566,0.37775055611111114
12076,24,0.21136367,0.250665675
12077,285,0.3363895437649123,0.3877349197473684
12078,716,0.3025111815391061,0.36053682832681566
12083,98,0.277130020632653,0.32259110597959184
12084,270,0.43120956222222223,0.48818217992592594
12085,23,0.4756363734782608,0.5953459852173912
12086,6,0.23376699999999997,0.26640487
12087,6,0.17196091,0.2013973
12089,6,0.017568879,0.038011037
12090,101,0.3238562172178218,0.3887755543267327
12092,6,0.17196091,0.2013973
12094,14,0.5323812985714286,0.5797332885714285
12095,576,0.2873328099010417,0.3423548821736111
12106,73,0.41034781249315067,0.4729688529589042
12110,2294,0.40789150240148214,0.4597803464956408
12116,6,0.17196091,0.2013973
12117,74,0.23743611491891894,0.2852229176756757
12118,329,0.3058711507355623,0.3533781406990882
12121,27,0.2886058488888889,0.3417328333333334
12122,74,0.2748156650675676,0.3185742952027027
12123,113,0.3288388837345133,0.3846510412920354
12125,29,0.3349328996206897,0.3772758464482759
12132,7,0.80269659,0.86348528
12134,99,0.19178004134343435,0.22857607766666668
12136,21,0.6148926623809524,0.7013620876190477
12137,21,0.4919898580952381,0.5504650904761904
12138,24,0.24214058333333333,0.30982201333333337
12139,6,0.24474956,0.29015684
12140,9,0.5924513633333333,0.6427892866666667
12143,128,0.2855647206484375,0.3448679618359375
12144,697,0.2860294835308465,0.3388503046083214
12148,80,0.36721046075,0.427369746625
12149,26,0.11843003938461538,0.15259905492307693
12151,8,0.5714883725,0.6988958625
12153,6,0.17196091,0.2013973
12154,59,0.32035985862711863,0.3849625163898305
12155,6,0.24474956,0.29015684
12156,6,0.17196091,0.2013973
12157,79,0.3332190417341772,0.39628296418987347
12158,113,0.3029045068141593,0.3697748756637168
12159,220,0.3577914983818182,0.4042886620818182
12164,28,0.16881821564285712,0.21976877407142856
12166,3,0.63149911,0.7350716
12167,46,0.24558615995652172,0.29122033030434785
12168,9,0.13473759666666668,0.18385028666666667
12170,75,0.25036295365333333,0.30649235149333337
12173,10,0.25608355299999996,0.310233133
12180,2159,0.33759724860166745,0.38842876377999075
12182,296,0.23430141294256757,0.2841346519695946
12183,68,0.40997061083823527,0.4928595379558824
12184,242,0.30094293232231406,0.34052936233884296
12185,20,0.24161878799999997,0.31375504800000004
12186,146,0.3364228114315069,0.3890111465547946
12188,215,0.2947351181767442,0.35010666206511626
12189,407,0.3296404151695332,0.3850852134643735
12192,47,0.19789182223404256,0.23157359957446808
12193,17,0.18480596588235293,0.21706074823529412
12196,63,0.207188891,0.2500996193492063
12197,6,0.63149911,0.7350716
12198,153,0.338765039379085,0.38606490432026147
12202,238,0.3094864044201681,0.36704749955462185
12203,1778,0.36509444246681666,0.413760832272216
12204,441,0.428079703122449,0.4947206675714286
12205,3472,0.38433087433294927,0.4461670240650922
12206,958,0.31322156031524007,0.364517564697286
12207,1068,0.5090231827237828,0.5722889000205992
12208,640,0.3116388831640625,0.34865265662656253
12209,172,0.20944365955232558,0.2559377119593023
12210,629,0.4577068445087441,0.5184570027313196
12211,543,0.4816444807440147,0.5397591594254144
12222,38,0.14605254918421054,0.16475049255263158
12224,7,0.3699974999999999,0.40976703
12242,3,0.017568879,0.038011037
12260,3,0.80269659,0.86348528
12302,885,0.31360471412090396,0.3643071277728814
12303,811,0.34059291977805184,0.39514439297040693
12304,686,0.24635065320116617,0.2974383894373178
12305,634,0.4285325873375394,0.49078513910094634
12306,786,0.2535632657938931,0.3134094210763359
12307,137,0.2154950857080292,0.26133828271532844
12308,326,0.27148601951533746,0.30383236247239265
12309,815,0.3898868830171779,0.4358192919644172
12345,24,0.4195067475,0.49819616499999997
12401,2686,0.3261807930465376,0.37903248542330603
12402,10,0.699978102,0.786437072
12404,99,0.39905455464646467,0.44899753707070705
12406,13,0.3481466956923077,0.4133513401538462
12407,6,0.17196091,0.2013973
12409,20,0.35442630249999996,0.4352581300000001
12410,9,0.13428272,0.19643217
12411,6,0.17196091,0.2013973
12412,9,0.540987353,0.5883271990000001
12413,82,0.26721856035365854,0.3211925127439025
12414,510,0.3000963841313726,0.3535426623254902
12419,3,0.24474956,0.29015684
12421,6,0.17196091,0.2013973
12422,3,0.17196091,0.2013973
12423,10,0.017568879,0.038011037
12428,218,0.28812652068807343,0.333893305440367
12430,16,0.34188023875,0.41423177125
12431,9,0.16902266633333332,0.206108239
12434,10,0.1782612036,0.22019528780000003
12435,6,0.13428272,0.19643217
12436,18,0.28090112111111115,0.32979170111111117
12439,8,0.017568879,0.038011037
12440,27,0.40654209192592594,0.4472478798518519
12442,34,0.2763927080294118,0.32193799320588234
12443,64,0.344483264375,0.3774345853125
12444,9,0.17196091,0.2013973
12446,124,0.2807921691854839,0.32970480074999997
12449,71,0.32961386121126757,0.38741135923943665
12450,6,0.24474956,0.29015684
12455,64,0.35512048459375,0.39821715015625003
12457,6,0.0759257995,0.1172216035
12458,9,0.4572106233333334,0.5397987766666668
12461,37,0.36345908675675676,0.41999069837837844
12463,13,0.23553800384615384,0.31055788461538464
12464,27,0.47072226944444445,0.5338492816666667
12465,3,0.017568879,0.038011037
12466,64,0.432623083609375,0.495540029265625
12468,12,0.15392541225,0.19189446175000002
12472,65,0.22998456387692306,0.28402163701538463
12473,12,0.13428272,0.19643217
12474,20,0.284124434,0.346511744
12477,804,0.2923032827736318,0.34654316450124384
12480,9,0.056473492666666666,0.09081808133333331
12481,30,0.2362820058,0.2819069334
12484,141,0.3685954524893617,0.420582302929078
12485,53,0.22234613718867924,0.267770020245283
12487,39,0.4152627357435898,0.4987837913333334
12489,3,0.17196091,0.2013973
12491,59,0.3437420830508474,0.4066012145762712
12493,3,0.017568879,0.038011037
12494,8,0.17196091,0.2013973
12495,11,0.12985399245454546,0.1568374100909091
12496,104,0.26421966016346154,0.32001346520192314
12498,345,0.37005455760289857,0.42114373256231885
12501,70,0.3281296895857143,0.35471311875714284
12502,23,0.17959790017391303,0.2410407444347826
12503,13,0.6215132720769231,0.672991223923077
12504,4,0.017568879,0.038011037
12508,652,0.34809169698006137,0.40439914092024537
12513,17,0.657822315882353,0.7079139482352942
12514,40,0.33622914000000004,0.413068245
12515,33,0.3808898924242424,0.47084816848484845
12516,25,0.26955601464,0.33112326632000005
12517,6,0.30971128,0.4379119
12518,196,0.3606836004285714,0.4122145750612245
12520,82,0.3625340177804878,0.4132769876097561
12521,34,0.15131987947058823,0.18559327017647062
12522,70,0.3240647339857143,0.3742335741857143
12523,20,0.1899508375,0.2302135555
12524,1029,0.3545272750894072,0.4038205626802721
12525,106,0.3674169702924528,0.4103207804056604
12526,115,0.31370681913913046,0.37964592573043476
12527,6,0.017568879,0.038011037
12528,559,0.3657476334418605,0.41174629170304117
12529,66,0.31636321506060605,0.3882200015454546
12531,103,0.2782745075728155,0.3377404553398058
12533,1062,0.3531186124048964,0.4048033250960452
12534,1080,0.2993494373037037,0.3520152396518519
12538,485,0.3060501003278351,0.35506412934226805
12540,304,0.2878350833355263,0.3404194631776316
12542,138,0.3205134345942029,0.3760596024057971
12543,15,0.1874224058,0.2619726674
12545,291,0.3800498549587629,0.43479698453264604
12546,135,0.2586861988592593,0.3204880416148148
12547,58,0.18352509318965518,0.22428630422413792
12548,6,0.109391755,0.146263961
12549,482,0.3228944018900415,0.37585769724066387
12550,2914,0.3250861189814688,0.37876445277213455
12551,3,0.80269659,0.86348528
12553,1092,0.3250483672701465,0.37671859968772897
12561,970,0.3362361125773196,0.3847076681443299
12563,239,0.3359569332175732,0.39585150415481174
12564,347,0.3201528321008646,0.36999396148991354
12565,21,0.3137156250476191,0.36080813657142863
12566,364,0.30097226895604395,0.34449089737912086
12567,94,0.2990443972340425,0.36308317829787234
12568,3,0.17196091,0.2013973
12569,318,0.3168084933207547,0.37242264933333336
12570,141,0.30044553490070924,0.354878732929078
12571,476,0.3379516422310924,0.3857642645210084
12572,652,0.39520726638496934,0.44315097459815955
12574,11,0.05967579654545454,0.0825709269090909
12575,44,0.3681811918181818,0.43208523045454544
12577,32,0.38527277959375,0.44229836034375003
12578,79,0.26525190278481015,0.3272865723291139
12580,92,0.33086028195652173,0.3887238858695652
12581,70,0.33417266542857144,0.4045840665714286
12582,104,0.3127916913846154,0.3601789909807692
12583,63,0.32708285565079365,0.37317487711111114
12584,27,0.17227742903703705,0.22438725674074075
12586,366,0.3218886387704918,0.37428570228415303
12589,335,0.31690578933432834,0.3821055894597015
12590,1516,0.3370153329010554,0.3903047909379947
12594,85,0.22902406277647055,0.28584202550588234
12601,2540,0.32331612340708665,0.374123612376378
12603,1730,0.34011163125433524,0.39265855969017344
12604,4,0.017568879,0.038011037
12701,743,0.33805133658142666,0.3900334830282638
12719,23,0.35892875334782615,0.39691288178260875
12720,4,0.017568879,0.038011037
