COUNTY,ZIP,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01041,36042,0.060561300,0.009132400,0.013888900,0.056342400
01041,36035,0.027042400,0.009132400,0.006944440,0.025515500
01041,36036,0.051585000,0.025875200,0.000000000,0.049052300
01041,36323,0.001704350,0.004566210,0.006944440,0.001978750
01041,36046,0.065447108,0.021309000,0.000000000,0.061445500
01041,36071,0.052380400,0.028919300,0.055555600,0.050822700
01043,35179,0.103017360,0.045362900,0.079136691,0.098243593
01043,35016,0.021440800,0.010080600,0.015587500,0.020481800
01043,35070,0.000000000,0.000252016,0.000000000,0.000019196
01043,35077,0.151967522,0.109375000,0.158273381,0.148824263
01043,35083,0.034466000,0.012348800,0.014388500,0.032459900
01043,35087,0.011693100,0.003276210,0.011990400,0.011056700
01043,35055,0.225001586,0.459929435,0.449640288,0.246491986
01043,35621,0.001881890,0.000504032,0.000000000,0.001746810
01043,35622,0.016175800,0.001512100,0.008393300,0.014934300
01043,35058,0.116951769,0.115171371,0.104316547,0.116613878
01043,35670,0.000021145,0.000000000,0.000000000,0.000019196
01043,35541,0.000253737,0.000000000,0.000000000,0.000230348
01043,35619,0.000274882,0.000000000,0.000000000,0.000249544
01043,35976,0.000232593,0.000000000,0.000000000,0.000211153
01043,35033,0.044340600,0.010584700,0.007194240,0.041174800
01043,35540,0.001374410,0.000252016,0.000000000,0.001266920
01043,35019,0.020637300,0.012096800,0.010791400,0.019829200
01043,35056,0.031844000,0.126008065,0.001199040,0.038525800
01043,35057,0.155646713,0.080393145,0.115107914,0.149265764
01043,35098,0.014907100,0.003276210,0.002398080,0.013820900
01043,35053,0.047871800,0.009576600,0.021582700,0.044534000
01045,36311,0.036167100,0.016932800,0.009966800,0.034410800
01045,36303,0.020277000,0.044025200,0.073089701,0.022835100
01045,36353,0.010052200,0.003870340,0.000000000,0.009456600
01045,36361,0.056340500,0.115626512,0.003322260,0.059206800
01045,36345,0.006597810,0.001935170,0.000000000,0.006167370
01045,36317,0.000587240,0.000483793,0.000000000,0.000569296
01045,36371,0.000000000,0.000483793,0.000000000,0.000031628
01045,36352,0.031261900,0.011611000,0.003322260,0.029445300
01045,36322,0.167086946,0.254475085,0.207641196,0.173572016
01045,36010,0.000552696,0.000000000,0.003322260,0.000569296
01045,36374,0.021071500,0.012094800,0.000000000,0.020083500
01045,36362,0.098069018,0.008224500,0.018272400,0.090676197
01045,36360,0.379011365,0.460087083,0.480066445,0.386235689
01045,36350,0.107533939,0.041606200,0.151162791,0.104054652
